Time,	PSY: Downloads - BitTorrent,
17/06/2013 00:00,	4089,
18/06/2013 00:00,	4390,
19/06/2013 00:00,	4340,
20/06/2013 00:00,	5713,
21/06/2013 00:00,	5668,
22/06/2013 00:00,	5476,
23/06/2013 00:00,	4354,
24/06/2013 00:00,	5417,
25/06/2013 00:00,	4756,
26/06/2013 00:00,	4932,
27/06/2013 00:00,	3491,
28/06/2013 00:00,	3200,
29/06/2013 00:00,	3427,
30/06/2013 00:00,	3520,
01/07/2013 00:00,	3243,
02/07/2013 00:00,	3119,
03/07/2013 00:00,	3119,
04/07/2013 00:00,	3119,
05/07/2013 00:00,	3119,
06/07/2013 00:00,	3119,
07/07/2013 00:00,	3119,
08/07/2013 00:00,	3119,
09/07/2013 00:00,	3119,
10/07/2013 00:00,	6529,
11/07/2013 00:00,	6559,
12/07/2013 00:00,	5734,
13/07/2013 00:00,	5438,
14/07/2013 00:00,	4959,
15/07/2013 00:00,	5151,
16/07/2013 00:00,	5345,
17/07/2013 00:00,	5533,
18/07/2013 00:00,	5136,
19/07/2013 00:00,	5349,
20/07/2013 00:00,	4652,
21/07/2013 00:00,	4600,
22/07/2013 00:00,	4293,
23/07/2013 00:00,	4383,
24/07/2013 00:00,	5420,
25/07/2013 00:00,	5374,
26/07/2013 00:00,	5956,
27/07/2013 00:00,	5939,
28/07/2013 00:00,	5683,
29/07/2013 00:00,	5224,
30/07/2013 00:00,	4087,
31/07/2013 00:00,	3484,
01/08/2013 00:00,	2688,
02/08/2013 00:00,	1134,
03/08/2013 00:00,	2022,
04/08/2013 00:00,	1636,
05/08/2013 00:00,	1511,
06/08/2013 00:00,	1618,
07/08/2013 00:00,	1405,
08/08/2013 00:00,	2149,
09/08/2013 00:00,	1451,
10/08/2013 00:00,	572,
11/08/2013 00:00,	562,
12/08/2013 00:00,	596,
13/08/2013 00:00,	2638,
14/08/2013 00:00,	2379,
15/08/2013 00:00,	978,
16/08/2013 00:00,	1337,
17/08/2013 00:00,	1384,
18/08/2013 00:00,	657,
19/08/2013 00:00,	1432,
20/08/2013 00:00,	2136,
21/08/2013 00:00,	1680,
22/08/2013 00:00,	2290,
23/08/2013 00:00,	2355,
24/08/2013 00:00,	3283,
25/08/2013 00:00,	3291,
26/08/2013 00:00,	3161,
27/08/2013 00:00,	3067,
28/08/2013 00:00,	3298,
29/08/2013 00:00,	3170,
30/08/2013 00:00,	3521,
31/08/2013 00:00,	3452,
01/09/2013 00:00,	1099,
02/09/2013 00:00,	602,
03/09/2013 00:00,	353,
04/09/2013 00:00,	1388,
05/09/2013 00:00,	1539,
06/09/2013 00:00,	1220,
07/09/2013 00:00,	627,
08/09/2013 00:00,	609,
09/09/2013 00:00,	799,
10/09/2013 00:00,	1011,
11/09/2013 00:00,	522,
12/09/2013 00:00,	735,
13/09/2013 00:00,	486,
14/09/2013 00:00,	588,
15/09/2013 00:00,	633,
16/09/2013 00:00,	436,
17/09/2013 00:00,	438,
18/09/2013 00:00,	636,
19/09/2013 00:00,	436,
20/09/2013 00:00,	726,
21/09/2013 00:00,	647,
22/09/2013 00:00,	2316,
23/09/2013 00:00,	2008,
24/09/2013 00:00,	2250,
25/09/2013 00:00,	2139,
26/09/2013 00:00,	1586,
27/09/2013 00:00,	1607,
28/09/2013 00:00,	1816,
29/09/2013 00:00,	2017,
30/09/2013 00:00,	681,
01/10/2013 00:00,	199,
02/10/2013 00:00,	96,
03/10/2013 00:00,	306,
04/10/2013 00:00,	98,
05/10/2013 00:00,	326,
06/10/2013 00:00,	108,
07/10/2013 00:00,	266,
08/10/2013 00:00,	158,
09/10/2013 00:00,	297,
10/10/2013 00:00,	214,
11/10/2013 00:00,	107
